Question,Answer
"How does CPC Corporation, Taiwan ensure that the crude oil supplied by potential suppliers is suitable for its refining needs?","CPC Corporation, Taiwan ensures that the crude oil supplied by potential suppliers is suitable for its refining needs by requesting crude assays and analyzing samples when necessary. This analysis helps determine if the supplied crude meets the refinery's requirements."
"What role do approved oil traders play in CPC Corporation, Taiwan's crude oil procurement procedure?","Approved oil traders play a role in CPC Corporation, Taiwan's crude oil procurement procedure by engaging in spot transactions only. They are included as approved counterparts for direct negotiation in the procurement process."
"How does CPC Corporation, Taiwan optimize its refining processes in relation to crude oil purchase plans?","CPC Corporation, Taiwan optimizes its refining processes in relation to crude oil purchase plans by discussing sales/purchase agreements with suppliers based on favorable yield considerations and maintaining transportation costs comparable to similar crude oils."
What are the different types of Automotive Unleaded Gasoline mentioned?,"The different types of Automotive Unleaded Gasoline mentioned are 98UL, 95UL, and 92UL. Additionally, there is a type denoted as 95E3 which has an octane rating of 95 achieved by adding 3% alcohol by volume."
What are the two broad types of Automotive Diesel Fuel discussed?,The two broad types of Automotive Diesel Fuel mentioned are Super Diesel (SD) and Premium Diesel (PD).
What is the sulfur content limit for both the Super Diesel (SD) and Premium Diesel (PD)?,The sulfur content limit for both Super Diesel (SD) and Premium Diesel (PD) is 10ppm (m/m).
"How many types is the Low Sulfur Fuel Oil (LSFO) divided into, and mention any two?",The Low Sulfur Fuel Oil (LSFO) is divided into four types. Two of them are LSFO(0.5%) used for industrial boilers with a heat-isolator unit and LSFO(1.0%) used for industrial boilers licensed to use oil with high sulfur content.
What is the kinematic viscosity limit for Low viscosity LSFO used for industrial boilers without a heat-isolator unit?,The kinematic viscosity limit for Low viscosity LSFO used for industrial boilers without a heat-isolator unit is less than 80cSt.
Explain the purpose of Automotive Unleaded Gasoline and its sulfur content limit.,Automotive Unleaded Gasoline is suitable for engines with specific conditions like hardened exhaust valve seat and exhaust catalytic converters. The sulfur content limit is 10ppm (m/m).
How is the octane rating of 95 achieved in the Automotive Unleaded Gasoline category?,The octane rating of 95 in the Automotive Unleaded Gasoline category is achieved by adding 3% alcohol by volume.
"What type of industrial boilers is High-pour LSFO used for, and mention the sulfur content limit?",High-pour LSFO is used to fuel electrical industrial boilers with a heat-isolator unit. The sulfur content limit is 0.5% (wt).
How is LSFO(1.0%) different from LSFO(0.5%) in terms of fueling industrial boilers?,"LSFO(1.0%) is used for industrial boilers licensed to use oil with high sulfur content, whereas LSFO(0.5%) is used for industrial boilers with a heat-isolator unit."
What is the pour-point limit for High-pour LSFO used in electrical industrial boilers?,The pour-point limit for High-pour LSFO used in electrical industrial boilers is lower than fifty-one degrees.
What are the products marketed by the LPG division mentioned?,"The products marketed by the LPG division are liquefied petroleum gas, propane, butane, and a propane/butane mixture."
What percentage of the LPG market consumption is accounted for by households?,Consumption by households accounts for about 80% of the LPG market.
How are the products distributed to end-users?,The products are distributed in bulk through sales agents to refilling plants and local dealers and from there are distributed to the end-users.
How is gas transported to industrial users?,Gas for industrial users is transported by tank-trolleys to each customer?™s plant and put into safe storage.
What are the main types of gas intended for usage by motor vehicles?,"The gas intended for motor vehicles includes liquefied petroleum gas, propane, butane, and a propane/butane mixture."
How many major sales agents does the LPG division have supply contracts with in Taiwan?,The LPG division has supply contracts with 5 major sales agents in Taiwan.
What is the main mode of transportation for gas to gas stations for motor vehicle users?,Gas intended for motor vehicles is transported to gas stations where users can refill their tanks.
Where is the head office of the LPG division located?,"The head office of the LPG division is located at NO.2, TSO-NAN RD., NAN-TZU DIST., KAOHSIUNG, TAIWAN 81126 R.O.C."
What is the primary source of the LPG products marketed by the division in terms of distribution?,The LPG products are sourced about equally from CPC refineries and from overseas suppliers.
How much did the price of 98 Unleaded gasoline change from 2024/03/11 to 2024/03/18 in NTD/liter?,"The price of 98 Unleaded gasoline changed from 33 NTD/liter on 2024/03/11 to 33.2 NTD/liter on 2024/03/18, a increase of 0.2 NTD/liter."
What was the highest price among the 92 Unleaded gasoline prices listed from 2024/02/26 to 2024/04/08 in NTD/liter?,The highest price among the 92 Unleaded gasoline prices listed was 29.7 NTD/liter.
Which type of gasoline had the lowest price on 2024/03/25 and what was the price in NTD/liter?,"The 98 Unleaded gasoline had the lowest price on 2024/03/25, which was 33 NTD/liter."
What was the average price of 95 Unleaded gasoline from 2024/03/18 to 2024/04/01 in NTD/liter?,The average price of 95 Unleaded gasoline from 2024/03/18 to 2024/04/01 was 31.1 NTD/liter.
How much did the price of Super/Premium diesel increase from 2024/03/11 to 2024/03/18 in NTD/liter?,"The price of Super/Premium diesel increased from 27.1 NTD/liter on 2024/03/11 to 27.2 NTD/liter on 2024/03/18, an increase of 0.1 NTD/liter."
How did the price of 98 Unleaded gasoline change from 2024/03/18 to 2024/04/08?,The price of 98 Unleaded gasoline decreased from 33.2 NTD/Liter on 2024/03/18 to 33.1 NTD/Liter on 2024/04/08.
Compare the price of 98 Unleaded gasoline on 2024/02/26 and 2024/03/11.,The price of 98 Unleaded gasoline was 32.9 NTD/LITER on 2024/02/26 and 33 NTD/LITER on 2024/03/11.
"If the price of 98 Unleaded gasoline on 2024/04/01 was 33 NTD/LITER, what was the price on 2024/04/08?",The price of 98 Unleaded gasoline on 2024/04/08 was 33.1 NTD/LITER.
Which type of gasoline had the highest price on 2024/03/18?,The highest priced gasoline on 2024/03/18 was 98 Unleaded gasoline at 33.2 NTD/LITER.
Was there any change in the price of 95 Unleaded gasoline from 2024/03/25 to 2024/04/01?,"No, the price of 95 Unleaded gasoline remained constant at 31 NTD/LITER during that period."
Identify the date when Super/Premium diesel saw a price increase compared to the previous week.,Super/Premium diesel saw a price increase on 2024/04/08 compared to the previous week.
How much did the price of 92 Unleaded gasoline change from 2024/02/26 to 2024/03/11?,The price of 92 Unleaded gasoline changed by $29.5 - 29.4 = 0.1$ NTD/LITER from 2024/02/26 to 2024/03/11.
Compare the price of 98 Unleaded gasoline on 2024/02/26 and 2024/03/11.,The price of 98 Unleaded gasoline was 32.9 NTD/LITER on 2024/02/26 and 33 NTD/LITER on 2024/03/11.
Which type of gasoline had the highest price on 2024/03/18?,The highest priced gasoline on 2024/03/18 was 98 Unleaded gasoline at 33.2 NTD/LITER.
Was there any change in the price of 95 Unleaded gasoline from 2024/03/25 to 2024/04/01?,"No, the price of 95 Unleaded gasoline remained constant at 31 NTD/LITER during that period."
Calculate the average price of Super/Premium diesel from 2024/03/11 to 2024/04/08.,The average price of Super/Premium diesel from 2024/03/11 to 2024/04/08 was ($27.1 + $27.2 + $27 + $27 + $27.1)/5 = $27.08 NTD/Liter.
What was the price of 92 Unleaded gasoline on 2024/02/26?,The price of 92 Unleaded gasoline on 2024/02/26 was 29.4 NTD/LITER.
What was the price of 92 Unleaded gasoline on 2024/03/04?,The price of 92 Unleaded gasoline on 2024/03/04 was 29.5 NTD/LITER.
What was the price of 92 Unleaded gasoline on 2024/03/11?,The price of 92 Unleaded gasoline on 2024/03/11 was 29.5 NTD/Liter.
What was the price of 92 Unleaded gasoline on 2024/03/18?,The price of 92 Unleaded gasoline on 2024/03/18 was 29.7 NTD/LITER.
What was the price of 92 Unleaded gasoline on 2024/03/25?,The price of 92 Unleaded gasoline on 2024/03/25 was 29.5 NTD/LITER.
What was the price of 92 Unleaded gasoline on 2024/04/01?,The price of 92 Unleaded gasoline on 2024/04/01 was 29.5 NTD/LITER.
What was the price of 92 Unleaded gasoline on 2024/04/08?,The price of 92 Unleaded gasoline on 2024/04/08 was 29.4 NTD/LITER.
What was the price of 95 Unleaded gasoline on 2024/02/26?,The price of 95 Unleaded gasoline on 2024/02/26 was 30.9 NTD/LITER.
What was the price of 95 Unleaded gasoline on 2024/03/04?,The price of 95 Unleaded gasoline on 2024/03/04 was 31 NTD/LITER.
What was the price of 95 Unleaded gasoline on 2024/03/11?,The price of 95 Unleaded gasoline on 2024/03/11 was 31 NTD/LITER.
What was the price of 95 Unleaded gasoline on 2024/03/18?,The price of 95 Unleaded gasoline on 2024/03/18 was 31.2 NTD/LITER.
What was the price of 95 Unleaded gasoline on 2024/03/25?,The price of 95 Unleaded gasoline on 2024/03/25 was 31 NTD/LITER.
What was the price of 95 Unleaded gasoline on 2024/04/01?,The price of 95 Unleaded gasoline on 2024/04/01 was 31 NTD/LITER.
What was the price of 95 Unleaded gasoline on 2024/04/08?,The price of 95 Unleaded gasoline on 2024/04/08 was 31.1 NTD/LITER.
What was the price of 98 Unleaded gasoline on 2024/02/26?,The price of 95 Unleaded gasoline on 2024/02/26 was 32.9 NTD/LITER.
What was the price of 98 Unleaded gasoline on 2024/03/04?,The price of 95 Unleaded gasoline on 2024/03/04 was 33 NTD/LITER.
What was the price of 98 Unleaded gasoline on 2024/03/11?,The price of 95 Unleaded gasoline on 2024/03/11 was 33 NTD/LITER.
What was the price of 98 Unleaded gasoline on 2024/03/18?,The price of 95 Unleaded gasoline on 2024/03/18 was 33.2 NTD/LITER.
What was the price of 98 Unleaded gasoline on 2024/03/25?,The price of 95 Unleaded gasoline on 2024/03/25 was 33 NTD/LITER.
What was the price of 98 Unleaded gasoline on 2024/04/01?,The price of 95 Unleaded gasoline on 2024/04/01 was 33 NTD/LITER.
What was the price of 98 Unleaded gasoline on 2024/04/08?,The price of 95 Unleaded gasoline on 2024/04/08 was 33.1 NTD/LITER.
How much did Super/Premium diesel cost on 2024/02/26?,Super/Premium diesel cost 26.9 NTD/LITER on 2024/02/26.
How much did Super/Premium diesel cost on 2024/03/04?,Super/Premium diesel cost 27.1 NTD/LITER on 2024/03/04.
How much did Super/Premium diesel cost on 2024/03/11?,Super/Premium diesel cost 27.1 NTD/LITER on 2024/03/11.
How much did Super/Premium diesel cost on 2024/03/18?,Super/Premium diesel cost 27.2 NTD/LITER on 2024/03/18.
How much did Super/Premium diesel cost on 2024/03/25?,Super/Premium diesel cost 27 NTD/LITER on 2024/03/25.
How much did Super/Premium diesel cost on 2024/04/01?,Super/Premium diesel cost 27 NTD/LITER on 2024/04/01.
How much did Super/Premium diesel cost on 2024/04/08?,Super/Premium diesel cost 27.1 NTD/LITER on 2024/04/08.
What are some inherent advantages of natural gas?,"Some inherent advantages of natural gas mentioned in the context are high thermal efficiency, low pollution profile, and convenience in safe handling."
When was the first LNG receiving terminal completed in Kaohsiung's Yongan District and what was the capacity boost following the second-phase expansion project completed in December 1996?,"The first LNG receiving terminal in Kaohsiung's Yongan District was completed in 1990, and the capacity was boosted to 4.5 million tons annually following the second-phase expansion project in December 1996."
"What was the purpose of the laying of a 36-inch diameter, 238 km long undersea pipeline from the Yongan plant to Tongxiao?","The purpose of laying the undersea pipeline was to expand CPC?™s annual LNG handling capacity to 7.44 million tons and satisfy the demand of independent power producers (IPP), as well as consumer and industrial end-users in northern Taiwan."
Why did CPC build a LNG receiving terminal close to Taichung's Port West Pier 13 and what were the main components of this terminal?,"CPC built a LNG receiving terminal close to Taichung's Port West Pier 13 to supply natural gas to Taipower, industrial firms, and household users in central and northern Taiwan. The main components of this terminal included three LNG storage tanks, gasification and gas supply facilities, and a 135-kilometer long-distance gas transportation pipeline."
What is the current government policy related to natural gas usage in Taiwan by 2025?,The current government policy mandates that 50% of Taiwan's total electricity should come from natural gas by 2025 to phase out nuclear power plants and reduce greenhouse gas emissions.
How does the completion of the Taichung LNG Terminal Phase II Investment Project aim to improve gas supply stability?,"The completion of the project will add three additional 160,000 kiloliter above-ground storage tanks, a gasification facility, and a terrestrial gas pipeline to enhance gas supply stability during the winter's inclement monsoon period."
What expansion projects are expected in the Taichung LNG Terminal to further enhance gas supply stability?,"The Phase III expansion module will add two 180,000 kiloliter above-ground storage tanks, a gasification plant, and the second unloading wharf at the Taichung LNG Terminal to improve gas supply stability."
How are the government policies influencing the natural gas usage patterns in Taiwan?,"The government policies aim to increase the reliance on natural gas for electricity generation to reduce greenhouse gas emissions and phase out nuclear power plants, with a target of having 50% of Taiwan's total electricity from natural gas by 2025."
What are some of the infrastructure projects mentioned in the context that will contribute to Taiwan's energy diversification?,"The infrastructure projects mentioned include the expansion of LNG receiving terminals, construction of storage tanks, gasification facilities, and long-distance pipelines to ensure a stable and dependable supply of natural gas."
How does the completion of the undersea pipeline from Yongan plant to Tongxiao contribute to meeting the demand of natural gas in Taiwan?,"The completion of the undersea pipeline expands CPC?™s annual LNG handling capacity, facilitating the supply of natural gas to independent power producers, consumer and industrial end-users in northern Taiwan, thereby meeting the increasing demand for natural gas in the region."
How many kilometers of terrestrial trunk pipeline does CPC's natural gas transmission and distribution system on Taiwan's western side comprise?,"The natural gas transmission and distribution system comprises approximately $2,221$ kilometers of terrestrial trunk pipeline."
What is the expected completion date for the undersea pipeline from the Yongan LNG Terminal to Tongxiao?,The undersea pipeline from the Yongan LNG Terminal to Tongxiao is expected to be completed by the end of $2028$.
"How many LNG storage tanks with a capacity of $160,000$ kiloliters each will be present at CPC's third LNG terminal in Kuantang Industrial Centre?","The third LNG terminal in Kuantang Industrial Centre will have two LNG storage tanks, each with a capacity of $160,000$ kiloliters."
"In the context of reducing greenhouse gas emissions, what steps has CPC taken regarding carbon neutral LNG?","CPC received its first carbon neutral LNG cargo in 2020, utilizing high-quality nature-based carbon credits to offset overall greenhouse gas emissions."
